Name,ID,Category,Food_Category,Energy Kcal,carb_g,protein_g,fat_g,fibre_g,Water,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,manganese_mg,zinc_mg,Vitamin A ug,Vitamin E_mg,Vitamin d3_ug,Vitamin k1_ug,Vitamin B9_ug,Vitamin B1 mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Vitamin B6 mg,Vitamin B9 ug,Vitamin c mg,Source
Beetroot poori (Chukandar ki poori),10284,Others,Mains,527.66,12.29,1.91,52.18,1.4,32.22,5.38,38.66,15.32,46.48,56.25,0.6,0.07,4.6,0.34,0.34,1.99,25.55,0,3.64,9.18,0.05,0.02,0.28,0.15,0.03,9.18,0.28,Indian Nutrient Databank (INDB)
Peas poori (Matar ki poori),10285,Others,Mains,592.83,14.92,3.04,57.69,2.25,22.1,8.96,48.59,20.7,47.77,79.58,0.84,0.1,5.3,0.41,0.51,2.2,28.27,0,10.18,12.18,0.09,0.02,0.48,0.25,0.06,12.18,5.5,Indian Nutrient Databank (INDB)
Peas kachori (Matar kachori),10286,Others,Snacks,584.68,13.25,3.21,57.51,2.03,24,14.25,30.8,16.13,55.45,91.63,0.77,0.09,0.4,0.26,0.4,0,28.29,0,14.45,15.19,0.09,0.02,0.44,0.26,0.06,15.19,9.35,Indian Nutrient Databank (INDB)
Eggplant/Brinjal rice (Vangi bhat),10287,Others,Mains,184.8,31.74,5.28,3.67,4.44,54.87,36.02,104.3,46.75,59.06,305.33,1.91,0.3,3.84,0.57,0.88,0,0.83,0,9.03,26.48,0.14,0.07,1.19,0.48,0.12,26.48,1.11,Indian Nutrient Databank (INDB)
Kashmiri 'tahar',10288,Others,Mains,98.21,19.11,1.95,1.37,0.98,76.59,3.93,35.26,7.58,61.29,40.82,0.32,0.07,0.31,0.22,0.28,11.32,0.1,0,0.5,2.44,0.04,0.02,0.62,0.14,0.05,2.44,0.01,Indian Nutrient Databank (INDB)
Cumin pulao (Jeera/Zeera pulao),10289,Others,Mains,135.24,23.61,2.47,3.2,1.4,69.32,7.25,45.21,11.29,219.73,62.11,0.33,0.09,0.39,0.27,0.36,0,1.49,0,1.5,5.12,0.06,0.02,0.78,0.19,0.07,5.12,0.52,Indian Nutrient Databank (INDB)
Peas pulao (Matar pulao),10290,Others,Mains,108.87,18.42,3.89,1.9,3.21,72.58,18.18,47.16,21.46,86.18,135.07,0.78,0.14,0.79,0.46,0.6,0,0.93,0,15.48,23.43,0.12,0.02,0.89,0.36,0.11,23.43,13.22,Indian Nutrient Databank (INDB)
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),10291,Others,Mains,116.53,19.72,3.6,2.3,3.16,71.22,19.09,57.29,21.07,98.07,162.09,0.82,0.14,2.81,0.49,0.59,0,0.98,0,8.67,23.58,0.09,0.03,0.77,0.33,0.1,23.58,6.13,Indian Nutrient Databank (INDB)
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),10292,Others,Mains,125.51,21.55,3.44,2.58,2.69,69.74,16.51,59.48,20.05,103.09,148.31,0.77,0.14,3.58,0.51,0.57,0,1.04,0,2.36,22.26,0.07,0.03,0.74,0.3,0.09,22.26,2.04,Indian Nutrient Databank (INDB)
Mutton pulao,10293,Others,Mains,130.77,11.26,6.52,10.78,1.65,69.79,49.87,80.01,22.89,3115.59,177.66,1.25,0.11,0.59,0.49,0.41,8.22,2.11,0,2.03,5.94,0.06,0.04,1.21,0.15,0.05,5.94,0.68,Indian Nutrient Databank (INDB)
